system,arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
rl,8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.7464155383151114,5.478295156214388,7.945,0,0
rl,8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.7401411689448887,5.43960124920623,7.685,1,0
rl,8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.755511641242334,5.542242247375357,7.885,1,0
rl,8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6811461958933127,5.2935126655548075,7.625,0,0
rl,9,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.9911648745350243,6.669655951211398,8.975,4,0
rl,9,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",4.0566818820298245,7.625601262753409,8.8,0,0
rl,9,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",4.212472804880861,7.218841518288652,9.07,0,0
rl,9,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.976713057612027,7.196572838330855,8.895,4,0
rl,10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",5.030851845893263,9.76821966323537,9.655,35,0
rl,10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",4.912225282113488,8.965024696940059,9.625,39,0
rl,10,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",7.683214295710726,12.411233858483254,9.8,88,0
rl,10,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",7.948351778545112,12.72657291111215,9.775,63,0
rl,11,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",14.77480715410911,26.886343547661163,9.83,258,1
rl,11,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",8.303306603737733,16.45651024176328,9.76,110,1
rl,11,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",14.478055410005851,27.376711119728252,9.825,249,1
rl,11,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",12.834976816329586,23.37490747212052,9.795,196,1
rl,12,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",22.028722911579013,41.20946124832416,9.82,432,1
rl,12,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",18.284826046271014,35.2226118355452,9.8,377,1
rl,12,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",21.860442103124303,36.88626346182476,9.845,369,1
rl,12,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",21.017542326008652,37.82765259609477,9.805,418,1
